project_source_id,activity.type,address,rating_program_name,building.URL,reg.date,reg.std,owner.type,zipcode,pilot,cert.date
1000025492,LEED,"10901 Gold Center Dr, Rancho Cordova, CA, USA",LEED EB 2009,http://www.gbig.org/buildings/47551/details,6/19/2012,LEED EB 2009,Investor: Equity Fund,95670,FALSE,NA
1000025517,LEED,"800 Corporate Pointe Walk, Culver City, CA, USA",LEED CI 2009,http://www.gbig.org/buildings/75315/details,6/20/2012,LEED CI 2009,Corporate: Publicly Traded,90230,FALSE,NA
1000025529,LEED,"2201 E Cerritos Ave, Anaheim, CA, USA",LEED CS 2009,http://www.gbig.org/buildings/57498/details,6/20/2012,LEED CS 2009,Corporate: Privately Held,92806,FALSE,NA
1000025534,LEED,"450 South Brand Boulevard, Glendale, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/966699/details,6/20/2012,LEED NC 2009,Corporate: Privately Held,91204,FALSE,NA
1000025557,LEED,"2260 Imperial Hwy, El Segundo, CA, USA",LEED CI 2009,http://www.gbig.org/buildings/57873/details,6/21/2012,LEED CI 2009,Corporate: Publicly Traded,90245,FALSE,NA
1000025596,LEED,"110 North Myers Street, Oceanside, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/122068/details,6/25/2012,LEED NC 2009,"Investor: REIT,Non-traded",92054,FALSE,NA
1000025699,LEED,"1300 Maple Street, Redwood City, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/122077/details,6/28/2012,LEED NC 2009,"Government Use: Local, County",94063,FALSE,NA
1000025755,LEED,"200 West Wilson Avenue, Glendale, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/971233/details,7/3/2012,LEED NC 2009,Corporate: Privately Held,91203,FALSE,NA
1000025823,LEED,"319 Enfrente Rd, Novato, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/62443/details,7/5/2012,LEED NC 2009,"Government Use: Other (utility, air",94949,FALSE,NA
1000025862,LEED,"682 Schofield Rd, Golden Gate National Recreation Area, San Francisco, CA, USA",LEED CI 2009,http://www.gbig.org/buildings/18987/details,7/9/2012,LEED CI 2009,Government Use: Federal,94129,FALSE,NA
1000025865,LEED,"245 N Beverly Dr, Beverly Hills, CA, USA",LEED CI 2009,http://www.gbig.org/buildings/58870/details,7/9/2012,LEED CI 2009,"Corporate: Privately Held, Investor: Investment Manager",90210,FALSE,NA
1000026003,LEED,"690 North Mills Avenue, Claremont, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/122096/details,7/13/2012,LEED NC 2009,"Educational: College, Private",91711,FALSE,NA
1000026078,LEED,"20360 Hawthorne Boulevard, Torrance, CA, USA",LEED NC 2009,http://www.gbig.org/buildings/122102/details,7/18/2012,LEED NC 2009,Retail,90503,FALSE,NA
1000026081,LEED,"401 Van Ness Ave, San Francisco, CA, USA",LEED CI 2009,http://www.gbig.org/buildings/65471/details,5/31/2012,LEED NC 2009,"Government Use: Local, City",94102,FALSE,NA
1000026083,LEED,"Santa Rosa Hall, Isla Vista, CA, USA",LEED CI 2009,http://www.gbig.org/buildings/1324656/details,7/18/2012,LEED CI 2009,Government Use: State,93117,FALSE,NA
