,project_source_id,Activity Type,Owner Type,Space Type,Project Size,Certification date,CBSA,USGBC Chapter,EPA Region,ASHRAE Climate Zone,Urban Rural Classification,Electric Utility Provider,address,building.URL,rating_program_name
3952,1000020171,LEED,K-12 Education,K-12,"7,739 sq ft",January 24 2017,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Los Angeles Dept. of Water & Power,"2265 E 103rd St, Los Angeles, CA, USA",http://www.gbig.org/buildings/8926,LEED Schools 2009
3953,1000019102,LEED,K-12 Education,K-12,"2,560 sq ft",November 30 2012,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Los Angeles Dept. of Water & Power,"100 S Barrington Pl, Los Angeles, CA, USA",http://www.gbig.org/buildings/22944,LEED Schools 2009
3954,1000018435,LEED,Higher Education,K-12,"5,936 sq ft",NA,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Redwood Empire Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large fringe metro,Pacific Gas and Electric Co.,"1144 Magnolia Ave, Larkspur, CA, USA",http://www.gbig.org/buildings/24601,LEED Schools 2009
3955,1000017848,LEED,K-12 Education,K-12,"14,450 sq ft",October 23 2018,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pacific Gas and Electric Co.,"201 Almond Ave, Los Altos, CA, USA",http://www.gbig.org/buildings/29794,LEED Schools 2009
3956,1000018068,LEED,Non-profit,K-12,"27,008 sq ft",May 17 2013,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area",San Diego Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,San Diego Gas & Electric Co.,"1460 W San Marcos Blvd, San Marcos, CA, USA",http://www.gbig.org/buildings/4618,LEED Schools 2009
3957,1000017942,LEED,K-12 Education,K-12,"22,000 sq ft",NA,"Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Sacramento Municipal Utility District,"425 1st Ave, Sacramento, CA, USA",http://www.gbig.org/buildings/14602,LEED Schools 2009
3958,1000017961,LEED,K-12 Education,K-12,"34,314 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pasadena Water & Power Dept.,"1505 N Marengo Ave, Pasadena, CA, USA",http://www.gbig.org/buildings/4951,LEED Schools 2009
3959,1000015802,LEED,K-12 Education,K-12,"38,625 sq ft",September 19 2013,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"3801 W Temple Ave, Cal Poly Pomona, Pomona, CA, USA",http://www.gbig.org/buildings/35628,LEED Schools 2009
3960,1000015655,LEED,K-12 Education,K-12,"24,660 sq ft",May 05 2015,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Orange County Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"2650 Fairview Rd, Costa Mesa, CA, USA",http://www.gbig.org/buildings/10150,LEED Schools 2009
3961,1000016283,LEED,K-12 Education,K-12,"27,447 sq ft",September 22 2015,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Orange County Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"2650 Fairview Rd, Costa Mesa, CA, USA",http://www.gbig.org/buildings/10150,LEED Schools 2009
