"","project_source_id","Activity.Type","Owner.Type","Space.Type","Project.Size","Certification.date","CBSA","USGBC.Chapter","EPA.Region","ASHRAE.Climate.Zone","Urban.Rural.Classification","Electric.Utility.Provider","address","building.URL","rating_program_name","building.URL","reg.date","reg.std","owner.type"
"23","10000448","LEED","Higher Education","Higher Ed","165,000 sq ft","September 05 2007","San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Pacific Gas and Electric Co.","2050 Center St, Berkeley, CA, USA","http://www.gbig.org/buildings/7940","LEED NC 2.0","http://www.gbig.org/buildings/7940/details","07/16/2002","LEED NC 2.0","State Government"
"24","10000460","LEED","Higher Education","Higher Ed",NA,"October 19 2006","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Southern California Edison Co.","175 West 6th Street, The Claremont Colleges, Claremont, CA, USA","http://www.gbig.org/buildings/112815","LEED NC 2.0","http://www.gbig.org/buildings/112815/details","07/26/2002","LEED NC 2.0","Profit Org."
"25","10000465","LEED","Corporate","Office","52,300 sq ft","January 30 2004","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Sacramento Municipal Utility District","2480 Natomas Park Dr, Sacramento, CA, USA","http://www.gbig.org/buildings/31708","LEED NC 2.0","http://www.gbig.org/buildings/31708/details","08/01/2002","LEED NC 2.0","Profit Org."
"26","10000479","LEED","Local Government","Public Order and Safety","116,903 sq ft","August 10 2004","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Southern California Edison Co.","333 Olympic Dr, Santa Monica, CA, USA","http://www.gbig.org/buildings/12364","LEED NC 2.0","http://www.gbig.org/buildings/12364/details","08/20/2002","LEED NC 2.0","Local Government"
"27","10000483","LEED","K-12 Education","K-12","9,000 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Los Angeles Dept. of Water & Power","5243 Laurel Canyon Blvd, North Hollywood, CA, USA","http://www.gbig.org/buildings/38837","LEED NC 2.0","http://www.gbig.org/buildings/38837/details","08/27/2002","LEED NC 2.0","Non-Profit Org."
"28","10000503","LEED","Local Government","Public Order and Safety","14,463 sq ft","May 18 2006","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Los Angeles Dept. of Water & Power","9224 Sunland Boulevard, Sunland, CA, USA","http://www.gbig.org/buildings/112822","LEED NC 2.0","http://www.gbig.org/buildings/112822/details","09/11/2002","LEED NC 2.0","Local Government"
"29","10000504","LEED","Local Government","Public Order and Safety","8,230 sq ft","December 02 2005","Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area","Los Angeles Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large central metro","Los Angeles Dept. of Water & Power","7063 Laurel Canyon Boulevard, Los Angeles, CA, USA","http://www.gbig.org/buildings/112823","LEED NC 2.0","http://www.gbig.org/buildings/112823/details","09/11/2002","LEED NC 2.0","Local Government"
"30","10000526","LEED","Local Government","Public Assembly","16,000 sq ft",NA,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest",NA,"NCHS Urban-Rural Classification: Large central metro",NA,"33801-, 33949 Rowland Dr, Fremont, CA, United States","http://www.gbig.org/buildings/1308750","LEED NC 2.0","http://www.gbig.org/buildings/1308750/details","09/30/2002","LEED NC 2.0","Local Government"
"31","10000528","LEED","Local Government","Public Order and Safety","58,000 sq ft","October 28 2004","Sacramento--Arden-Arcade--Roseville, CA Metropolitan Statistical Area","Northern California Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Large fringe metro","Pacific Gas and Electric Co.","1000 Lincoln Ave, Woodland, CA, USA","http://www.gbig.org/buildings/23040","LEED NC 2.0","http://www.gbig.org/buildings/23040/details","10/02/2002","LEED NC 2.0","Local Government"
"32","10000529","LEED","Higher Education","Higher Ed","175,544 sq ft","December 18 2007","Merced, CA Metropolitan Statistical Area","Central California Chapter","EPA Region 9: Pacific Southwest","ASHRAE Climate Zone #3","NCHS Urban-Rural Classification: Small metro","Pacific Gas and Electric Co.","5320 Lake Rd, Merced, CA, USA","http://www.gbig.org/buildings/16806","LEED NC 2.0","http://www.gbig.org/buildings/16806/details","10/02/2002","LEED NC 2.0","State Government"
