,project_source_id,Activity Type,Owner Type,Space Type,Project Size,Certification date,CBSA,USGBC Chapter,EPA Region,ASHRAE Climate Zone,Urban Rural Classification,Electric Utility Provider,address,building.URL
4979,1000022943,LEED,NA,Health Care,"545,000 sq ft",NA,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area",San Diego Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,San Diego Gas & Electric Co.,"5201 Ruffin Road, San Diego, CA, USA",http://www.gbig.org/buildings/112150
4980,1000023252,LEED,NA,Retail,"12,015 sq ft",December 11 2014,"El Centro, CA Metropolitan Statistical Area",NA,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Small metro,NA,"888 W 2nd St, Calexico, CA, USA",http://www.gbig.org/buildings/1312194
4981,1000024412,LEED,NA,Office,"3,831 sq ft",NA,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Los Angeles Dept. of Water & Power,"6255 West Sunset Boulevard, Los Angeles, CA, USA",http://www.gbig.org/buildings/82559
4982,1000027481,LEED,NA,Retail,"31,511 sq ft",NA,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pacific Gas and Electric Co.,"2001 Market St, San Francisco, CA, USA",http://www.gbig.org/buildings/7598
4983,1000026689,LEED,NA,Retail,"30,058 sq ft",August 31 2015,"San Diego-Carlsbad-San Marcos, CA Metropolitan Statistical Area",San Diego Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,San Diego Gas & Electric Co.,"275 Horton Plaza, Westfield Horton Plaza, San Diego, CA, USA",http://www.gbig.org/buildings/122181
4984,1000026515,LEED,NA,Retail,"2,995 sq ft",March 07 2014,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Large central metro,NA,"3276 Livermore Outlets Dr, Livermore, CA, USA",http://www.gbig.org/buildings/1313045
4985,1000026516,LEED,NA,Retail,"2,209 sq ft",April 16 2014,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,NA,NCHS Urban-Rural Classification: Large central metro,NA,"3276 Livermore Outlets Dr, Livermore, CA, USA",http://www.gbig.org/buildings/1313045
4986,1000029032,LEED,NA,Retail,"10,925 sq ft",October 02 2014,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"1250 Bellflower Boulevard, California State University Long Beach, Long Beach, CA, USA",http://www.gbig.org/buildings/49902
4987,1000029442,LEED,NA,Service,"1,219 sq ft",NA,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large fringe metro,Pacific Gas and Electric Co.,"5550 Coast Highway, Pacifica, CA, USA",http://www.gbig.org/buildings/70160
4988,1000029884,LEED,NA,Retail,"41,905 sq ft",June 19 2014,"San Francisco-Oakland-Fremont, CA Metropolitan Statistical Area",Northern California Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Pacific Gas and Electric Co.,"278 Post Street, San Francisco, CA, USA",http://www.gbig.org/buildings/123416
4989,1000028418,LEED,NA,Retail,"4,623 sq ft",February 27 2014,"Los Angeles-Long Beach-Santa Ana, CA Metropolitan Statistical Area",Los Angeles Chapter,EPA Region 9: Pacific Southwest,ASHRAE Climate Zone #3,NCHS Urban-Rural Classification: Large central metro,Southern California Edison Co.,"401 North Rodeo Drive, Beverly Hills, CA, USA",http://www.gbig.org/buildings/65451
