"","building.URL","reg.date","reg.std","owner.type"
"134","http://www.gbig.org/buildings/5636/details","06/11/2003","LEED NC 2.1","Local Government"
"135","http://www.gbig.org/buildings/22050/details","06/18/2003","LEED NC 2.1","Non-Profit Org."
"136","http://www.gbig.org/buildings/1390132/details","06/23/2003","LEED NC 2.1","Other"
"137","http://www.gbig.org/buildings/28455/details","06/24/2003","LEED NC 2.1","Other"
"138","http://www.gbig.org/buildings/8312/details","04/23/2002","LEED NC 2.1","Local Government, State Government, Other"
"139","http://www.gbig.org/buildings/13335/details","02/27/2002","HRSA Data Warehouse Hospitals","Local Government"
"140","http://www.gbig.org/buildings/112775/details","02/02/2007","LEED NC 2.1","State Government, Government Use: State"
"141","http://www.gbig.org/buildings/38276/details","07/27/2001","LEED NC 2.1","Local Government"
"142","http://www.gbig.org/buildings/27084/details","05/31/2001","LEED NC 2.1","State Government, Government Use: State"
"143","http://www.gbig.org/buildings/39242/details","03/29/2004","LEED NC 2.1","Non-Profit Org."
"144","http://www.gbig.org/buildings/112887/details","10/23/2003","LEED NC 2.1","Local Government, State Government, Non-Profit Org., Other, Educational: Community College, Pub"
"145","http://www.gbig.org/buildings/599985/details","04/29/2004","LEED NC 2.1","Profit Org."
"146","http://www.gbig.org/buildings/24313/details","05/05/2004","LEED NC 2.1","Profit Org."
"147","http://www.gbig.org/buildings/300545/details","05/07/2004","LEED NC 2.1","Profit Org."
"148","http://www.gbig.org/buildings/40069/details","10/07/2004","LEED NC 2.1","Profit Org."
"149","http://www.gbig.org/buildings/6905/details","03/28/2003","LEED NC 2.1","Local Government, Educational: Community College, Pub, Educational: University, Public, Educational: College, Public"
"150","http://www.gbig.org/buildings/39655/details","10/26/2004","LEED NC 2.1","Profit Org."
"151","http://www.gbig.org/buildings/112994/details","11/12/2004","LEED NC 2.1","Other, Local Government, Educational: College, Public, Educational: Community College, Pub"
"152","http://www.gbig.org/buildings/113001/details","11/30/2004","LEED NC 2.1","Profit Org."
"153","http://www.gbig.org/buildings/4807/details","12/03/2004","USDA Farmers Markets","Local Government"
"154","http://www.gbig.org/buildings/113015/details","12/20/2004","LEED NC 2.1","Local Government"
"155","http://www.gbig.org/buildings/32292/details","12/20/2004","LEED NC 2.1","Local Government"
"156","http://www.gbig.org/buildings/113022/details","01/26/2005","LEED NC 2.1","Profit Org."
"157","http://www.gbig.org/buildings/40908/details","01/28/2005","LEED NC 2.1","State Government"
"158","http://www.gbig.org/buildings/27281/details","01/28/2005","LEED NC 2.1","Local Government"
"159","http://www.gbig.org/buildings/22813/details","02/02/2005","LEED NC 2.1","Non-Profit Org., Non-Profit (that do not fit into ot"
"160","http://www.gbig.org/buildings/113024/details","02/03/2005","LEED NC 2.1","Other"
"161","http://www.gbig.org/buildings/1308822/details","02/18/2005","LEED NC 2.1","State Government"
"162","http://www.gbig.org/buildings/88480/details","03/02/2005","LEED NC 2.1","Individual"
"163","http://www.gbig.org/buildings/12709/details","03/07/2005","LEED NC 2.1","Non-Profit Org."
"164","http://www.gbig.org/buildings/27395/details","03/08/2005","LEED NC 2.1","Non-Profit Org."
"165","http://www.gbig.org/buildings/15380/details","04/13/2005","LEED NC 2.1","Profit Org."
"166","http://www.gbig.org/buildings/42065/details","04/18/2005","LEED NC 2.1","Non-Profit Org."
"167","http://www.gbig.org/buildings/600172/details","04/19/2005","LEED NC 2.1","Non-Profit Org."
"168","http://www.gbig.org/buildings/12096/details","01/10/2005","LEED NC 2.1","Other"
"169","http://www.gbig.org/buildings/13538/details","01/11/2005","LEED NC 2.1","Other"
"170","http://www.gbig.org/buildings/18322/details","01/18/2005","LEED NC 2.1","Profit Org."
"171","http://www.gbig.org/buildings/1932/details","01/24/2005","LEED NC 2.1","Profit Org."
"172","http://www.gbig.org/buildings/41766/details","04/26/2005","LEED NC 2.1","State Government, Government Use: State"
"173","http://www.gbig.org/buildings/113047/details","04/28/2005","USDA Farmers Markets","Local Government"
"174","http://www.gbig.org/buildings/14031/details","05/02/2005","LEED NC 2.1","Local Government"
"175","http://www.gbig.org/buildings/784017/details","05/13/2005","LEED NC 2.1","Local Government"
"176","http://www.gbig.org/buildings/34495/details","05/17/2005","LEED NC 2.1","Local Government"
"177","http://www.gbig.org/buildings/784019/details","05/17/2005","LEED NC 2.1","State Government"
"178","http://www.gbig.org/buildings/573413/details","05/17/2005","LEED NC 2.1","State Government"
"179","http://www.gbig.org/buildings/113050/details","05/04/2005","LEED NC 2.1","Profit Org."
"180","http://www.gbig.org/buildings/784032/details","06/10/2005","LEED NC 2.1","State Government"
"181","http://www.gbig.org/buildings/110026/details","06/16/2005","NCES Private Schools","Non-Profit Org., Profit Org., Non-Profit Org."
"182","http://www.gbig.org/buildings/14797/details","07/05/2005","LEED NC 2.1","Non-Profit Org., Educational: Community College, Pub"
"183","http://www.gbig.org/buildings/703/details","07/15/2005","LEED NC 2.1","Profit Org."
"184","http://www.gbig.org/buildings/1736/details","07/28/2005","LEED NC 2.1","Local Government, Government Use: Local, County"
"185","http://www.gbig.org/buildings/27220/details","08/08/2005","LEED NC 2.1","Local Government"
"186","http://www.gbig.org/buildings/25147/details","08/19/2005","LEED NC 2.1","Non-Profit Org., Community Development Corporation o"
"187","http://www.gbig.org/buildings/33167/details","09/07/2005","LEED NC 2.1","Profit Org., Non-Profit (that do not fit into ot"
"188","http://www.gbig.org/buildings/88515/details","09/26/2005","LEED NC 2.1","Local Government"
"189","http://www.gbig.org/buildings/3618/details","12/30/2004","NWF Certified Wildlife Habitat","Local Government"
"190","http://www.gbig.org/buildings/40388/details","10/10/2005","LEED NC 2.1","Local Government"
"191","http://www.gbig.org/buildings/11272/details","10/12/2005","LEED NC 2.1","Profit Org."
"192","http://www.gbig.org/buildings/30749/details","10/17/2005","LEED NC 2.1","Non-Profit Org."
"193","http://www.gbig.org/buildings/21540/details","10/18/2005","LEED NC 2.1","Profit Org."
"194","http://www.gbig.org/buildings/41659/details","10/19/2005","LEED NC 2.1","Profit Org."
"195","http://www.gbig.org/buildings/29075/details","10/21/2005","LEED NC 2.1","Profit Org."
"196","http://www.gbig.org/buildings/22363/details","10/24/2005","LEED NC 2.1","Profit Org."
"197","http://www.gbig.org/buildings/33201/details","10/25/2005","National Register of Historic Places","Local Government"
"198","http://www.gbig.org/buildings/35051/details","10/26/2005","LEED NC 2.1","Profit Org."
"199","http://www.gbig.org/buildings/21292/details","10/26/2005","LEED NC 2.1","State Government"
"200","http://www.gbig.org/buildings/21521/details","10/26/2005","LEED NC 2.1","Other, Local Government, Educational: Community College, Pri, Educational: College, Public, Educational: Community College, Pub"
"201","http://www.gbig.org/buildings/35015/details","10/05/2005","LEED NC 2.1","Other"
"202","http://www.gbig.org/buildings/113106/details","08/03/2005","LEED NC 2.1","State Government, Educational: Community College, Pub"
"203","http://www.gbig.org/buildings/196840/details","10/28/2005","LEED NC 2.1","Profit Org."
"204","http://www.gbig.org/buildings/21521/details","10/26/2005","LEED NC 2.1","Other, Local Government, Educational: Community College, Pri, Educational: College, Public, Educational: Community College, Pub"
"205","http://www.gbig.org/buildings/32870/details","11/03/2005","USDA Farmers Markets","Profit Org."
"206","http://www.gbig.org/buildings/113147/details","11/03/2005","LEED NC 2.1","Other"
"207","http://www.gbig.org/buildings/113148/details","11/03/2005","LEED NC 2.1","State Government"
"208","http://www.gbig.org/buildings/12276/details","11/03/2005","LEED NC 2.1","Local Government"
"209","http://www.gbig.org/buildings/739941/details","11/01/2005","LEED NC 2.1","Profit Org."
"210","http://www.gbig.org/buildings/34838/details","11/02/2005","LEED NC 2.1","Profit Org."
"211","http://www.gbig.org/buildings/27981/details","11/03/2005","LEED NC 2.1","Local Government"
"212","http://www.gbig.org/buildings/33480/details","06/24/2002","HRSA Data Warehouse Hospitals","Other, Profit Org."
